rowid,pl_name,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_insol,pl_insolerr1,pl_insolerr2,pl_rade_error,pl_bmasse_error,st_rad_error,st_teff_error,pl_orbsmax_error,pl_insol_error,pl_flux,pl_flux_error
29,55 Cnc e,1.91,0.08,-0.08,8.08,0.31,-0.31,0.899428769,0.004154405,-0.004154405,0.94,0.01,-0.01,0.01544,9.00E-05,-9.00E-05,,,,0.08,0.31,0.01,0.004154405,9.00E-05,,2425.650438,73.97066946
66,CoRoT-10 b,10.87,0.78,-0.78,874,50.85,-50.85,0.878483642,0.012982517,-0.012982517,0.79,0.05,-0.05,0.1055,0.0021,-0.0021,,,,0.78,50.85,0.05,0.012982517,0.0021,,33.39519467,4.851199548
67,CoRoT-11 b,16.03,0.34,-0.34,740.51,108.06,-108.06,1.114765449,0.020772027,-0.020772027,1.37,0.03,-0.03,0.0436,0.005,-0.005,,,,0.34,108.06,0.03,0.020772027,0.005,,1524.762334,373.732894
68,CoRoT-12 b,16.14,1.46,-1.46,291.438,22.247,-20.658,0.982343777,0.013848018,-0.013848018,1.12,0.1,-0.09,0.04016,0.00093,-0.00092,,,,1.46,21.4525,0.095,0.013848018,0.000925,,724.2735584,133.7070976
69,CoRoT-13 b,9.92,0.157,-0.157,415.704,20.976,-20.976,1.029080838,0.01557902,-0.01557902,1.01,0.03,-0.03,0.051,0.0031,-0.0031,,,,0.157,20.976,0.03,0.01557902,0.0031,,439.8457106,65.20245824
70,CoRoT-14 b,12.22,0.78,-0.78,2415.4,190.7,-190.7,1.044659858,0.017310023,-0.017310023,1.21,0.08,-0.08,0.027,0.002,-0.002,,,,0.78,190.7,0.08,0.017310023,0.002,,2391.899015,500.7362811
71,CoRoT-16 b,13.11,1.79,-1.57,170.032,27.014,-26.379,0.978016271,0.017310023,-0.017310023,1.19,0.14,-0.13,0.0618,0.0015,-0.0015,,,,1.68,26.6965,0.135,0.017310023,0.0015,,339.2355001,82.29383648
72,CoRoT-17 b,11.43,0.78,-0.78,772.29,95.34,-95.34,0.993595292,0.013848018,-0.013848018,1.59,0.07,-0.07,0.0461,0.0008,-0.0008,,,,0.78,95.34,0.07,0.013848018,0.0008,,1159.392528,127.35076
73,CoRoT-18 b,14.68,2.02,-2.02,1102.82,120.77,-120.77,0.941665224,0.017310023,-0.017310023,1,0.13,-0.13,0.0295,0.0016,-0.0016,,,,2.02,120.77,0.13,0.017310023,0.0016,,903.5290006,263.0702043
74,CoRoT-19 b,14.46,0.34,-0.34,352.78,19.07,-19.07,1.05418037,0.012117016,-0.012117016,1.65,0.04,-0.04,0.0518,0.0008,-0.0008,,,,0.34,19.07,0.04,0.012117016,0.0008,,1253.049043,92.23953152
75,CoRoT-2 b,16.432,0.471,-0.493,1102.82,69.92,-69.92,0.973688766,0.020772027,-0.020772027,0.91,0.03,-0.03,0.02798,0.00076,-0.0008,,,,0.482,69.92,0.03,0.020772027,0.00078,,950.7536498,115.4200819
78,CoRoT-21 b,14.572,1.569,-1.569,718.2958,98.5273,-98.5273,1.073221395,0.017310023,-0.017310023,1.95,0.21,-0.21,0.0417,0.0011,-0.0011,,,,1.569,98.5273,0.21,0.017310023,0.0011,,2901.044567,669.9858528
